Index,Speech,ThemeLabel
4264,я бы хотела по,9
5681,алло ипотека,10
2658,у меня кредит я платежка,5
10981,меня интересует взять кредит,24
2207,счет по вкладу,4
3096,а перевод не прошел перевод денег,6
4724,веб карт,9
13085,мне нужны реквизиты,32
11229,узнать ну если счет по кредиту,24
13021,меня интересует закрытие моего счета хочу проконсультироваться,31
6307,меня интересует кредит банк,10
10172,оператора вместо что меня интересует,21
129,филиала отделения банка,0
4064,смена пароля на банковской карте,8
12843,алло меня интересует открытие расчетного счета,31
6312,обслуживание ипотека,10
9537,алло меня инте интересует открыть иного вклада какие какая процентная,20
12529,нас а добрый день хотели узнать,27
11146,узнать одобрили кредит,24
4756,если карты,9
7242,хотел узнать пришла карта новый или нет,18
4689,меня интересует дебетовой карточки,9
9120,сегодня мне на телефон пришла смска,18
13238,перевод на счет юридического лица,35
9991,дата оператора,21
7012,у меня проблема с банкоматом,16
12313,я по терминалу в магазине э работа нас терминал банка вашего,25
905,время работы отделения банка город салават об адреса космонавтов бы два сорок три,0
5250,поводу кредита,10
9866,все запрос специалиста,21
10251,мне нужна помощь оператора,21
8555,по статусу платежа,18
1468,по телефону звонки,3
5684,алло я,10
3819,здравствуйте нас интересует у нас нет связи с интернет банка,8
13292,юридическое лицо нам алло сша,35
2175,меня интересует на на ставка по вкладам,4
3140,узнать просрочена задолженность,7
239,я в ряда,0
7349,как продать платежку,18
1625,вы мне сейчас только что звонили,3
6354,сколько осталось э до конца кредита сумма,10
7849,возврат покупки,18
623,банкомат не работает деньги не могу внести за кредит,0
10672,перевыпуск зарплатной карты,23
4844,платно карта вашего,9
1385,меня ничего не интересует связывай позвонили хочу узнать что звонили,3
9721,сотрудником банка,21
1804,вопрос такой сейчас не поступил звонок от вас я просто была заняты попросила перезвонить по по предложения по какому то новом,3
4552,алло карточка,9
3087,а проблема с переводом денег на карту,6
1773,мне почему то звонили сегодня,3
1223,банкомат взял деньги и не зачислил,0
1919,вчера позвонили нам на счет моего счета,3
3984,у меня проблема банк клиент,8
3662,восстановить пароль к интернет банк,8
2364,меня интересует текущий оплата кредита,5
2070,ну да стал а это что такое да,4
8072,не проходит оплата в интернет магазине,18
2787,мы нам нужно закрыть кредит вот четырнадцатого числа доплатили о последней,5
5184,когда написано по,10
8574,мне надо мне карту мне надо узнать сколько мне осталось платить кредит,18
10900,а мне чек чек выдал ошибку,23
6751,меня интересует обмен валюты,14
1985,снятие вклада,4
6803,меня интересует валютный вклады,14
9936,консультация по расчетного счета,21
2426,остаток задолженности по кредиту остаток задолженности по,5
10203,мне мне нужен оператор,21
10654,распечатка платежном поручении,22
1759,мне звонили вас что с,3
811,ближайший,0
8312,нет нет ейске и я ее есть карта мне просто нужно поговорить с кем то по своему кредиту что бы,18
11603,я оставляла заявку на в интернете,24
6823,перевод валюты,14
3354,заканчивается да,7
9876,хотел бы поговорить с оператором,21
5509,что с по кредиту,10
13188,нет реквизиты,32
6068,кредит интересует кредит,10
4525,нет у нас вопрос не по карте,9
1250,до скольки работает ваш банк,0
5135,по карта банк,9
11202,а хотим оформить просрочку погашение кредита,24
4546,услуги,9
11284,нет делала заявку на кредит пришло пришло смс услуг с кодом что это значит,24
11740,пенни чтобы взять кредит вот мне нужен процент узнать что под какой процент можно взять кредит,24
10705,нужна я перевыпустить,23
33,где находится,0
1000,до скольки работает отделение,0
10421,меня интересует живой оператор,21
3968,техподдержка ли юридических лиц,8
9279,в каком банкомате можно проверить баланс без процента,18
5447,для пенсионеров,10
10298,по операционист,21
1421,я одесской эти звонки моя без я из а не могу понять что происходит,3
13215,эквайринга,34
7299,и входящие платежи,18
5711,здравствуйте,10
3829,интересует пароль для входа в интернет банк,8
2752,по действующим на кредит,5
1236,месте статический,0
3240,задолжность моя,7
5014,идите в карта в контактный центр центре,9
5915,ничего не кредита,10
1390,нет а сейчас позвонили сказали что я должна,3
3348,задолжность за обслуживание карты,7
5835,интересует день кредит,10
2570,платеж по сто,5
8239,работа с картой,18
2862,как погасить задолженность по кредиту,5
7474,карту разблокировать надо,18
1208,офисы продаж,0
6899,э мобильный банк,15
2667,платеж кредиту,5
2908,как оплатить кредит в другом,5
1115,деньги отправленные через банкомат но не полученных,0
9761,я хочу поговорить с оператором по поводу,21
7040,нас интересует у нас зажевало в банкомате который на до сих пор не возвращает зажевало двадцатого декабря,16
10586,как создать платежном поручении,22
2970,вопрос по текущему кредиту,5
3445,работа с банк клиентом,8
7547,вопрос оплаты по карте,18
9117,сумма ограничения по счету,18
6033,да но через сбербанк,10
11638,хотел бы кредит оформить,24
2498,вопрос по ипотечному кредиту,5
4597,угу да,9
11076,здравствуйте с вашего банка мне приходило смс о возможности взять кредит,24
1561,пропущенный звонок от вас был,3
9521,открытие нова в открыть,20
4652,у меня с карты,9
11754,а по рублей оформление кредита,24
3484,проблема с он лайн банк,8
9958,вы можете соединить с сотрудником,21
10247,пять с оператором,21
3226,задолженность по кредитной карты,7
8922,действующую карту мне надо проверить меня есть ни на что они или нет,18
6935,банком банкомат не принимает деньги,16
9700,мне надо связаться с оператором,21
2961,нет у нас есть вопрос не по текущий карте выдавали заявку на кредит,5
4235,карту,9
736,ответьте пожалуйста с офисом дома общего тридцать находится,0
3394,доброе утро скажите пожалуйста если заканчивается договор тысячи стоп февраля а это воскресенье когда можно в какой день перезаключить договор,7
5282,кредит алло,10
5578,ага да,10
4784,узнать вопрос про карту,9
6411,да максим,11
6359,почту пять автокредит,10
8506,меня интересует как мне снять деньги если у меня заблокирована карточка,18
11867,хотелось бы узнать про кредит,24
10379,карта специалиста можно алло,21
6117,мне интересно вы даете кредит иностранных граждан наличии на ресепшн,10
9821,консультация насчет кредита,21
11345,узнать по решению кредита,24
10972,узнать оформить кредит или нет,24
1599,алло алло звонили по этому я вам перезваниваю,3
8834,хотелось бы узнать меня отправлен код о том что о,18
8929,карта получить пенсии,18
720,где находится ваш офис,0
11904,хочу кредит заявка оставить,24
2823,хочу уточнить перенос платежа,5
5409,нет кредит,10
1974,закрытие вклада,4
2306,висит вклад,4
7824,поменять платеж,18
5878,приобретение кредита,10
1392,мне с этого номера звонили,3
952,адреса главная вот,0
9370,действующей кредитка,19
9626,процент по вкладу открытие,20
3926,интернет банк в алло восстановление пароля,8
3448,интернет банк в алло,8
12954,закрыли расчетный счет организации,31
7163,пополнение вклада физических лиц,17
621,хочу узнать месте,0
9600,вот что то интересует меня цвета как будто я что еще нету я думаю с тем что мы хотели что делать,20
12469,привет,27
4261,мне банк,9
211,адрес в городе краснодаре вашего банка,0
8228,пополнить счет через,18
5910,ваше смс по поводу кредита,10
4979,расчет на,9
13187,лицевой счет узнать,32
7438,какие банки партнеры мне нужно снять наличные,18
11906,я хочу узнать выплатил ли нет я кредит,24
6843,валюты город воронеже перевести на семь,14
3818,э значит интернет банк про не,8
13059,меня интересует как сделать перевод с расчетного счета на карту,32
12558,здравствуйте меня интересует вот мне сказали в банк пришли,27
5532,меня интересует интересует ней кредит,10
1034,меня интересует адрес банка,0
2724,вопрос по погашению кредита,5
7151,действующих вклады для получения кредита,17
12422,алло здравствуйте у меня сейчас только что вы позвонили,27
1614,мне просто позвонили вот с этого позвонила,3
3734,заблокировать интернет банк,8
8977,я плачу кредит я кредит оплачиваю,18
12857,получение расчетного счета,31
8178,по карточке,18
10546,я бы хотел пообщаться с оператором,21
11916,мне пришло код на получение кредита,24
10044,соедините меня с соедините меня с оператором от очень срочно,21
830,отделения и банкоматы,0
1026,меня интересует телефон офиса на ленинградском проспекте нижнем тагиле,0
1325,как надо заблокировать карту,2
6418,гк с кредитной картой,11
10071,соедините меня с специалиста,21
7421,я вставил карту положим туда деньги эти деньги,18
2753,я повторяю вопрос заем алло да что это такое,5
9067,вопрос по созданию платежа,18
2099,все верно,4
2643,сумма досрочного погашения,5
3726,установить интернет банк,8
11282,насчет кредита мне узнать,24
477,карточку банкомат на сумму,0
11875,оформить кредит только я пенсионерка,24
3771,мне клиент банк не работает,8
36,мне нужен адрес банкомата в челябинске,0
10855,как поменять карточку,23
5951,денег кредит,10
2600,тот вопрос где этот вопрос,5
5784,да да да все по ли все верно,10
5397,но это срок в отдела на золото,10
11419,заявку на кредит,24
4290,карточка в интересует карточка,9
1283,я бы хотела заблокировать карту,2
12496,добрый день мне пришла смска с вашего по ситибанк кем хотел узнать все пообщаться с тарифы по телеком спасибо,27
770,сумма денег осталось в банкомате,0
2464,вопрос состоит в том что бы вы меня с рязань есть у деньги как то не матчи кредита либо что мой вопрос,5
5725,да я сказал,10
3855,пароль к интернет банку,8
2551,остаток долга по кредиту,5
11039,я подавал заявку на кредит и,24
3539,не работает интернет банк тема,8
2581,как перенести платеж,5
10056,а мне нужна консультация оператора,21
2653,да да остаток задолженности за кредит,5
5483,не пришло сообщение что мне одобрен кредит,10
3288,узнать об ссудная задолженность,7
4472,данная карта,9
7433,а мне нужно платежку то сайте,18
6315,насчет насчет кредита,10
8155,списание по карте,18
3010,денежные средства перевод карт банкомат,6
5511,весь на телефон,10
3042,перевод денег на карту,6
12623,алло здравствуйте хотел узнать по срочно забыл,27
991,алло отделение банка меня интересует,0
11025,как взять кредит,24
11869,я подавала заявку через интернет и с в,24
3807,узнать поддержка интересует интернет с банк не могу запросить,8
4871,из это самое,9
6606,да курс покупки доллара,12
6446,хочу,11
8007,положить на баланс,18
3677,не прошел пароль с у нас,8
9265,остаток по дебетовой карты,18
4572,мне нужно перевод с моей карты,9
4012,алло просто поддержку,8
344,после регистрации в отделение,0
8241,у меня вопрос по списанию сумма кредита,18
8996,платежи есть,18
9963,мне нужно поговорить с оператором,21
3660,а вот у меня интересует почему в личном кабинете и я не могу к узнать остаток,8
12507,здравствуйте я по,27
4203,меня интересует служба поддержки клиентов,8
5173,кредит кредит,10
9974,мне нужна связь с менеджером,21
13225,подключение торговые эквайринга,34
11855,да получение кредита сказать код,24
1837,звонили,3
3406,задолженность по кредиту деньги перечислены,7
9079,остаток на своей карте,18
7883,код банк,18
8066,по действующих карта,18
4436,я звоню из я не надо же насчет карточки с прошла,9
4319,да да алло да я,9
12177,я хочу получить кредит по карте,24
5137,ну у меня карточка не проходит,9
8795,хотел о подтверждении платежей,18
5363,кредит по указанным,10
160,банк банк отделения банка,0
10579,как оформить платежном поручении,22
1771,что звонили,3
12416,здравствуйте я хотел бы кассовый заявку оставить,27
9514,вклад вклад,20
339,меня интересует вот что у меня есть вклад в отделение банка в парк,0
11020,получение кредита получим на с мая,24
13122,номер лицевого счета,32
3512,здравствуйте мне нужно восстановить пароль к интернет банк,8
7284,мне б работы на платежка,18
10284,как связаться с оператором,21
2663,меня интересует то вот платежи по кредиту,5
8766,вопрос я по квитанции как у меня сумма платить,18
3017,перевод денег со счета на счет,6
9228,у меня вопрос я могу досрочно заплатить,18
706,меня интересует отделение банка и часы работы,0
12562,здравствуйте пытаюсь,27
10677,получить карту,23
11701,какие нужны справки обязательно при оформлении кредита ваш банк,24
4268,по карте в городе оренбурге,9
11628,какие условия кредитования,24
10644,платежное поручение карт,22
3049,перевод средств на с карты на карту,6
475,меня интересует отделение санкт петербурге,0
10703,банковская зарплатная карта готова или не готова,23
13277,юридические все движения по счета юридического лица,35
2368,мне нужно у меня вопрос по кредиту,5
4422,не понял,9
4602,подойти в любой банке по,9
582,меня интересует система банкоматов,0
8938,баланс по карте баланс по карте,18
9138,мне нужно узнать минимальный платеж этого месяца,18
6864,дирхам,14
5425,мне нужно кредит,10
8033,снять со вклада наличными,18
10921,заявку на кредит оставлял,24
11321,узнать если задолжность по кредиту,24
11980,то сняли по поводу получения кредита,24
9024,алло мне пришел пин код,18
7285,а карточка мы закрыли,18
5427,с месяцами,10
5067,не карту в лайн банк,9
2546,вопрос о кредите,5
12129,получить кредит пенсионный,24
151,пяти отделение банка,0
8854,по забрал карту не выдал деньги,18
2593,перенос платежа по действий,5
7216,во заканчивается вклада как двадцать три часу да да когда можно забрать деньги,17
1682,общие да вы двух вы мне звонили перезвоню просто узнать,3
11033,девушка я хотела бы узнать по поводу кредита,24
12605,девушка скажите пожалуйста здравствуйте вот,27
3141,узнать просроченная задолженность,7
4805,насчет карточки банковской,9
13305,корпоративные карты,35
11080,я хочу поговорить с,24
7062,я нахожусь в магазине всего в каком городе воронеже банкомат почему то не принимает деньги,16
1427,вы звонили,3
10520,подтверждение трудоустройство сотрудника,21
1119,адрес вашего банка в городе назаров,0
2494,а по кредиту вопрос,5
10733,меня интересует дата открытия карты,23
6692,делать менять евро,13
893,где находится адрес,0
4509,заработная плата,9
12048,я из ваших клиент к я брала вас кредит я хочу,24
1813,здравствуйте ну звонок мне вчера бы вот по этого надо банк что то не у вас клиента с банком что как бы хотели что то до сорок четыре,3
7517,узнать сколько денег на карте,18
127,на проспекте тебе скажите через ваш филиал уже стоит,0
11565,я право ли у меня пин код на получение кредита я хочу дошли,24
11063,условия получения кредита,24
10550,дайте мне человека пообщаться,21
2056,вопрос по ну вклада,4
2137,эти вклада,4
12435,здравствуйте можно ли мне предварительно узнать делать,27
13015,я открывала подавала заявку на открытие расчетного счета в городе челябинск,31
7377,к мне на телефон на мой номер пришла смс сообщений,18
2542,вопрос о действующим кредите,5
3858,пая дура деньги,8
1242,дальнего офиса,0
9152,почему карта и либо картах об я не могу купить,18
3983,здравствуйте и интернет банк,8
8163,нет мою карту заблокировали мне нужно ее разблокировать,18
305,почему не работает телефон по адресу красный проспект сто семьдесят восемь,0
8546,мне смс пришла с кодом по дети получите,18
6957,банкомат не выдал деньги,16
607,урал урал банк где то находится,0
6579,меня интересует курс покупки доллара по,12
2087,здравствуйте меня интересует состояние моего вклада,4
2693,мне нужно связаться с оператором по поводу погашения остатка ссудной по кредит,5
11241,я хотел по кредиту узнать,24
6641,хочу продать доллары,12
8372,как подключить оповещение о поступлении денежных средств на карту,18
3541,алло техподдержка,8
9640,под проценты по вкладу существующий на э вклада,20
11785,получу,24
13027,расчетный счет получение выписки,31
526,отделение отделении,0
8639,списывается платеж на карту,18
7498,подтверждения платежа,18
11243,меня интересует пенсионная кредита кредитование есть у вас кредитование пенсионеров на тех же условиях и на производит,24
9589,тут какие проценты у вас вклады,20
1493,просто мне звонили из я не успел за телефон,3
5422,ейск она не нашла,10
11093,я хотел бы взять кредит,24
7221,обслуживание обслуживание текущего вклада,17
5087,я не знаю,9
1141,мне интересует отделение банка,0
6290,я клиент вашего,10
6501,перевод на кредитную карту,11
1318,карточку хочу заблокировать,2
10567,вот связь с оператором,21
7658,не было не получается войти балансе банк,18
12503,алло добрый вечер,27
2029,третий вклада,4
2454,от действующей в под а потребительского кредита,5
268,отделение в городе салават телефон,0
2326,эти вклад,4
10640,нужен мне на счет платежном поручении какие удалить числе на подписан,22
3557,установите на интернет банк билайн,8
2688,действующих кредит платеж по кредиту,5
5668,решение кредита,10
1673,звонили пропущенный пропущенный вопрос,3
5450,интересует кредитование,10
3315,это вопрос о погашении задолженности там двести рублей я вчера не доплатил мне прислали,7
3841,восстановление пароля в интернет банке,8
5556,с,10
8532,нашел карту,18
5870,да только по паспорту,10
13039,узнать по поводу расчетного счета,31
7067,банкомат банкомат деньги съело карточку в том что не ответил,16
6741,от менять бады на рубли,14
11447,кредит оформление на соколе,24
3527,я не могу зайти в свой интернет банк,8
3215,область пенни кредита,7
2832,меня интересует размер очередного платежа по кредиту,5
3962,если поддержка,8
4603,я могу поговорить,9
12159,хочу взять кредит потребительский,24
8039,снять наличных,18
5850,выписка по кредиту,10
3053,я отправил я отправила перевод western union,6
1502,а смс что со с по кар пожалуйста адмирала это как то это звонили так,3
2091,закрыть вклад,4
8054,оплатить квитанцию оплата за институт,18
11127,заявку оставляла как меня то при или нет узнать хотел,24
5479,да по кредиту,10
2251,закрыть вклад мне надо закрыть вклад,4
9685,скажите пожалуйста такие на сегодня в о вкладах какие проценты,20
3353,здравствуйте у меня за марта заканчивается вклад отправляемый хочу узнать как его пролонгация или какое-то новый другой,7
4501,по поводу карты карта,9
936,в любой филиал или,0
5211,ипотека,10
473,помнил операцию,0
10927,получить,24
2699,меня вопрос по действующим кредит,5
10745,получить карту по поводу,23
2768,алло ежемесячный платеж по кредиту,5
6477,не по кредитной карте,11
340,девушка я в терминале снимала деньги девять тридцать шесть выдал при застряли в банкомате что мне делать,0
6429,кар,11
4271,авторизация банковской карте,9
